opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
0,0,0,0,376,0.005,0.5,,,,,1358.0952042000135,1358.0952042000135,1361.1070083000232,1361.1070083000232,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,377,0.005,0.5,,,,,1361.6227878000354,1361.6227878000354,1364.6346019000048,1364.6346019000048,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,378,0.005,0.5,,,,,1365.1284457000438,1365.1284457000438,1368.1319705999922,1368.1319705999922,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,379,0.005,0.5,,,,,1368.6301091000205,1368.6301091000205,1371.6470041000284,1371.6470041000284,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,380,0.005,0.5,,,,,1372.1451241000323,1372.1451241000323,1375.1668818000471,1375.1668818000471,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,381,0.005,0.5,,,,,1375.6648013000377,1375.6648013000377,1378.6842179000378,1378.6842179000378,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,382,0.005,0.5,,,,,1379.1797657000134,1379.1797657000134,1382.1984690000536,1382.1984690000536,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,383,0.005,0.5,,,,,1382.6953968999442,1382.6953968999442,1385.7156205000356,1385.7156205000356,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,384,0.005,0.5,,,,,1386.2150838000234,1386.2150838000234,1389.245228899992,1389.245228899992,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,385,0.005,0.5,,,,,1389.7278428999707,1389.7278428999707,1392.7316021999577,1392.7316021999577,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,386,0.005,0.5,,,,,1393.228881899966,1393.228881899966,1396.249343500007,1396.249343500007,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,387,0.005,0.5,,,,,1396.7454451000085,1396.7454451000085,1399.7633958000224,1399.7633958000224,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,388,0.005,0.5,,,,,1400.2605768999783,1400.2605768999783,1403.2869301999453,1403.2869301999453,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,389,0.005,0.5,,,,,1403.7880489999661,1403.7880489999661,1406.797258000006,1406.797258000006,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,390,0.005,0.5,,,,,1407.2965081000002,1407.2965081000002,1410.3159061999759,1410.3159061999759,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,391,0.005,0.5,,,,,1410.8115505999885,1410.8115505999885,1413.8178319999715,1413.8178319999715,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,392,0.005,0.5,,,,,1414.3116775000235,1414.3116775000235,1417.3332487000152,1417.3332487000152,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,393,0.005,0.5,,,,,1417.8393134999787,1417.8393134999787,1420.8497946000425,1420.8497946000425,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
